State,YEAR,Number of factories
ANDHRA PRADESH,2011,16241.07059
ANDHRA PRADESH,2012,15358
ANDHRA PRADESH,2013,15719
ANDHRA PRADESH,2014,16012
ANDHRA PRADESH,2015,16340
ANDHRA PRADESH,2016,16246
ANDHRA PRADESH,2017,16296
ANDHRA PRADESH,2018,16739
KARNATAKA,2011,11460
KARNATAKA,2012,11753
KARNATAKA,2013,12107
KARNATAKA,2014,12566
KARNATAKA,2015,12973
KARNATAKA,2016,13344
KARNATAKA,2017,13518
KARNATAKA,2018,13789
GOA,2011,586
GOA,2012,597
GOA,2013,618
GOA,2014,635
GOA,2015,654
GOA,2016,647
GOA,2017,715
GOA,2018,708
KERALA,2011,7031
KERALA,2012,7129
KERALA,2013,7132
KERALA,2014,7320
KERALA,2015,7580
KERALA,2016,7697
KERALA,2017,7649
KERALA,2018,7696
TAMIL NADU,2011,36996
TAMIL NADU,2012,36869
TAMIL NADU,2013,37378
TAMIL NADU,2014,37878
TAMIL NADU,2015,37331
TAMIL NADU,2016,37220
TAMIL NADU,2017,37787
TAMIL NADU,2018,38131
PUDUCHERRY,2011,832
PUDUCHERRY,2012,911
PUDUCHERRY,2013,857
PUDUCHERRY,2014,716
PUDUCHERRY,2015,682
PUDUCHERRY,2016,665
PUDUCHERRY,2017,681
PUDUCHERRY,2018,703
ANDAMAN AND NICOBAR ISLANDS,2011,18
ANDAMAN AND NICOBAR ISLANDS,2012,24
ANDAMAN AND NICOBAR ISLANDS,2013,20
ANDAMAN AND NICOBAR ISLANDS,2014,20
ANDAMAN AND NICOBAR ISLANDS,2015,19
ANDAMAN AND NICOBAR ISLANDS,2016,18
ANDAMAN AND NICOBAR ISLANDS,2017,18
ANDAMAN AND NICOBAR ISLANDS,2018,14
TELANGANA,2011,11466.92941
TELANGANA,2012,13656
TELANGANA,2013,14110
TELANGANA,2014,14427
TELANGANA,2015,14874
TELANGANA,2016,15028
TELANGANA,2017,15263
TELANGANA,2018,15167
LADAKH,2011,18.83080632
LADAKH,2012,20.88666671
LADAKH,2013,20.62421645
LADAKH,2014,21.10537526
LADAKH,2015,20.66795816
